Id,Name,Size,Resv
0,CHKSUM_PROJECT_ID_OFFSET,2,
1,CHKSUM_MAC_ADDRESS_OFFSET,2,
2,CHKSUM_HDCP_KEY_OFFSET,2,
3,CHKSUM_BARCODE_OFFSET,4,
10,SSM_RSV_W_CHARACTER_CHAR_START,10,
11,SSM_CR_START,1536,
12,SSM_MARK_01_START,1,
13,SSM_MARK_02_START,1,
14,SSM_MARK_03_START,1,
20,SSM_RSV0,0,
21,SSM_RW_FBMF_START,1,
22,SSM_RW_DEF_HDCP_START,1,
23,SSM_RW_POWER_CHANNEL_START,1,
24,SSM_RW_LAST_SOURCE_INPUT_START,1,
25,SSM_RW_SYS_LANGUAGE_START,1,
26,SSM_RW_AGING_MODE_START,1,
27,SSM_RW_PANEL_TYPE_START,1,
28,SSM_RW_POWER_ON_MUSIC_SWITCH_START,1,
29,SSM_RW_POWER_ON_MUSIC_VOL_START,1,
30,SSM_RW_SYS_SLEEP_TIMER_START,4,
31,SSM_RW_INPUT_SRC_PARENTAL_CTL_START,4,
32,SSM_RW_PARENTAL_CTL_SWITCH_START,1,
33,SSM_RW_PARENTAL_CTL_PASSWORD_START,16,
34,SSM_RW_SEARCH_NAVIGATE_FLAG_START,1,
35,SSM_RW_INPUT_NUMBER_LIMIT_START,1,
36,SSM_RW_SERIAL_ONOFF_FLAG_START,1,
37,SSM_RW_STANDBY_MODE_FLAG_START,1,
38,SSM_RW_HDMIEQ_MODE_START,1,
39,SSM_RW_LOGO_ON_OFF_FLAG_START,1,
40,SSM_RW_HDMIINTERNAL_MODE_START,4,
41,SSM_RW_DISABLE_3D_START,1,
42,SSM_RW_GLOBAL_OGO_ENABLE_START,1,
43,SSM_RW_LOCAL_DIMING_START,1,
44,SSM_RW_VDAC_2D_START,2,
45,SSM_RW_VDAC_3D_START,2,
46,SSM_RW_NON_STANDARD_START,2,
47,SSM_RW_ADB_SWITCH_START,1,
48,SSM_RW_SERIAL_CMD_SWITCH_START,1,
49,SSM_RW_CA_BUFFER_SIZE_START,2,
50,SSM_RW_NOISE_GATE_THRESHOLD_START,1,
51,SSM_RW_DTV_TYPE_START,1,
52,SSM_RW_UI_GRHPHY_BACKLIGHT_START,1,
53,SSM_RW_FASTSUSPEND_FLAG_START,1,
54,SSM_RW_BLACKOUT_ENABLE_START,1,
55,SSM_RW_PANEL_ID_START,1,
80,SSM_RSV_1,0,
150,SSM_RSV_2,0,
151,VPP_DATA_POS_COLOR_DEMO_MODE_START,1,
152,VPP_DATA_POS_COLOR_BASE_MODE_START,1,
153,VPP_DATA_POS_TEST_PATTERN_START,1,
154,VPP_DATA_POS_DDR_SSC_START,1,
155,VPP_DATA_POS_LVDS_SSC_START,2,
156,VPP_DATA_POS_DREAM_PANEL_START,1,
157,VPP_DATA_POS_BACKLIGHT_REVERSE_START,1,
158,VPP_DATA_POS_BRIGHTNESS_START,SOURCE_MAX,
159,VPP_DATA_POS_CONTRAST_START,SOURCE_MAX,
160,VPP_DATA_POS_SATURATION_START,SOURCE_MAX,
161,VPP_DATA_POS_HUE_START,SOURCE_MAX,
162,VPP_DATA_POS_SHARPNESS_START,SOURCE_MAX,
163,VPP_DATA_POS_COLOR_TEMPERATURE_START,SOURCE_MAX,
164,VPP_DATA_POS_NOISE_REDUCTION_START,SOURCE_MAX,
165,VPP_DATA_POS_SCENE_MODE_START,1,
166,VPP_DATA_POS_PICTURE_MODE_START,SOURCE_MAX,
167,VPP_DATA_POS_DISPLAY_MODE_START,SOURCE_MAX,
168,VPP_DATA_POS_BACKLIGHT_START,SOURCE_MAX,
169,VPP_DATA_POS_RGB_GAIN_R_START,4,
170,VPP_DATA_POS_RGB_GAIN_G_START,4,
171,VPP_DATA_POS_RGB_GAIN_B_START,4,
172,VPP_DATA_POS_RGB_POST_OFFSET_R_START,4,
173,VPP_DATA_POS_RGB_POST_OFFSET_G_START,4,
174,VPP_DATA_POS_RGB_POST_OFFSET_B_START,4,
175,VPP_DATA_POS_DBC_START,1,
176,VPP_DATA_PROJECT_ID_START,1,
177,VPP_DATA_POS_DNLP_START,1,
178,VPP_DATA_POS_PANORAMA_START,SOURCE_MAX,
179,VPP_DATA_APL_START,1,
180,VPP_DATA_APL2_START,1,
181,VPP_DATA_BD_START,1,
182,VPP_DATA_BP_START,1,
183,VPP_DATA_RGB_START,18,
184,VPP_DATA_COLOR_SPACE_START,1,
185,VPP_DATA_USER_NATURE_SWITCH_START,1,
186,VPP_DATA_GAMMA_VALUE_START,1,
187,VPP_DATA_DBC_BACKLIGHT_START,1,
188,VPP_DATA_DBC_STANDARD_START,1,
189,VPP_DATA_DBC_ENABLE_START,1,
190,VPP_DATA_POS_FBC_BACKLIGHT_START,1,
191,VPP_DATA_POS_FBC_ELECMODE_START,1,
192,VPP_DATA_POS_FBC_COLORTEMP_START,1,
193,VPP_DATA_POS_FBC_N310_BACKLIGHT_START,1,
194,VPP_DATA_POS_FBC_N310_COLORTEMP_START,1,
195,VPP_DATA_POS_FBC_N310_LIGHTSENSOR_START,1,
196,VPP_DATA_POS_FBC_N310_MEMC_START,1,
197,VPP_DATA_POS_FBC_N310_DREAMPANEL_START,1,
198,VPP_DATA_POS_FBC_N310_MULTI_PQ_START,1,
199,VPP_DATA_POS_N311_VBYONE_SPREAD_SPECTRUM_START,1,
200,VPP_DATA_POS_N311_BLUETOOTH_VAL_START,1,
201,VPP_DATA_EYE_PROTECTION_MODE_START,1,
250,SSM_RSV3,0,
251,TVIN_DATA_POS_SOURCE_INPUT_START,1,
252,TVIN_DATA_CVBS_STD_START,1,
253,TVIN_DATA_POS_3D_MODE_START,1,
254,TVIN_DATA_POS_3D_LRSWITCH_START,1,
255,TVIN_DATA_POS_3D_DEPTH_START,1,
256,TVIN_DATA_POS_3D_TO2D_START,1,
257,TVIN_DATA_POS_3D_TO2DNEW_START,1,
280,SSM_RSV4,0,
281,CUSTOMER_DATA_POS_HDMI1_EDID_START,1,
282,CUSTOMER_DATA_POS_HDMI2_EDID_START,1,
283,CUSTOMER_DATA_POS_HDMI3_EDID_START,1,
284,CUSTOMER_DATA_POS_HDMI4_EDID_START,1,
285,CUSTOMER_DATA_POS_HDMI_HDCP_SWITCHER_START,1,
287,CUSTOMER_DATA_POS_HDMI_COLOR_RANGE_START,1,
288,CUSTOMER_DATA_POS_DYNAMIC_BACKLIGHT,SOURCE_MAX,
289,CUSTOMER_DATA_POS_EDGE_ENHANCER,SOURCE_MAX,
290,CUSTOMER_DATA_POS_MPEG_NOISE_REDUCTION,SOURCE_MAX,
291,CUSTOMER_DATA_POS_DYNAMIC_CONTRAST,SOURCE_MAX,
292,CUSTOMER_DATA_POS_AUTO_ASPECT,SOURCE_MAX,
293,CUSTOMER_DATA_POS_43_STRETCH,SOURCE_MAX,
294,VPP_DATA_DNLP_MODE_START,SOURCE_MAX,
295,VPP_DATA_DNLP_GAIN_START,SOURCE_MAX,
296,VPP_DATA_POS_LOCAL_CONTRAST_MODE_START,SOURCE_MAX,
